time,phase,pos_x,pos_y,pos_z,force_x,force_y,force_z,force_magnitude,depth,target_force
2.217000,1,0.312112,0.002486,0.521073,0.000000,0.000000,1.000000,1.000000,-0.016073,10.000000
2.227000,1,0.312109,0.002488,0.521072,0.000000,0.000000,1.000000,1.000000,-0.016072,10.000000
2.237000,1,0.312109,0.002492,0.521072,0.000000,0.000000,1.000000,1.000000,-0.016072,10.000000
2.247000,1,0.312108,0.002495,0.521069,0.000000,0.000000,1.000000,1.000000,-0.016069,10.000000
2.257000,1,0.312108,0.002503,0.521074,0.000000,0.000000,1.000000,1.000000,-0.016074,10.000000
2.267000,1,0.312108,0.002505,0.521068,0.000000,0.000000,1.000000,1.000000,-0.016068,10.000000
2.277000,1,0.312105,0.002506,0.521071,0.000000,0.000000,1.000000,1.000000,-0.016071,10.000000
2.287000,1,0.312110,0.002515,0.521072,0.000000,0.000000,1.000000,1.000000,-0.016072,10.000000
2.297000,1,0.312106,0.002516,0.521072,0.000000,0.000000,1.000000,1.000000,-0.016072,10.000000
2.307000,1,0.312107,0.002520,0.521071,0.000000,0.000000,1.000000,1.000000,-0.016071,10.000000
2.317000,1,0.312106,0.002523,0.521068,0.000000,0.000000,1.000000,1.000000,-0.016068,10.000000
2.327000,1,0.312106,0.002531,0.521073,0.000000,0.000000,1.000000,1.000000,-0.016073,10.000000
2.337000,1,0.312106,0.002533,0.521068,0.000000,0.000000,1.000000,1.000000,-0.016068,10.000000
2.347000,1,0.312103,0.002533,0.521070,0.000000,0.000000,1.000000,1.000000,-0.016070,10.000000
2.357000,1,0.312108,0.002542,0.521072,0.000000,0.000000,1.000000,1.000000,-0.016072,10.000000
2.367000,1,0.312105,0.002543,0.521071,0.000000,0.000000,1.000000,1.000000,-0.016071,10.000000
2.377000,1,0.312105,0.002547,0.521071,0.000000,0.000000,1.000000,1.000000,-0.016071,10.000000
2.387000,1,0.312104,0.002549,0.521068,0.000000,0.000000,1.000000,1.000000,-0.016068,10.000000
2.397000,1,0.312104,0.002556,0.521073,0.000000,0.000000,1.000000,1.000000,-0.016073,10.000000
2.407000,1,0.312104,0.002558,0.521068,0.000000,0.000000,1.000000,1.000000,-0.016068,10.000000
2.417000,1,0.312102,0.002558,0.521070,0.000000,0.000000,1.000000,1.000000,-0.016070,10.000000
2.427000,1,0.312106,0.002566,0.521072,0.000000,0.000000,1.000000,1.000000,-0.016072,10.000000
